Symbol,Date,Open,High,Low,Close,PrevClose,Change,PctChange,Volume,AvgVol20,RVOL,VWAP,VWAP_Pos,VWAP_Band,VWAP_Dist%,EMA9,EMA20,EMA50,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Width%,BB_Pos,ATR,ADX,ADX_Trend,ADX_Dir,Supertrend,Breakout,Gap%,Gap_Type,Score,Label,ATR_Stop_L,ATR_Target_L,Vol_Spike
ATHERENERG,01-09-2026,1694.0,1744.0,1671.6,1725.6,1717.7,7.9,0.46,9560905,5017991,1.91,1562.53,Above,Above +1σ,10.44,1579.81,1500.8,1361.95,78.82,87.23,71.43,15.7958,,21.71,Above,63.98,53.23,Strong Trend,Bull,Bull,Breakout,-1.38,Gap Down,100,Strong Bull,1629.63,1853.57,Spike
BAJAJ-AUTO,01-09-2026,12180.0,12470.0,12090.0,12361.0,12130.0,231.0,1.9,494914,241163,2.05,11808.41,Above,Above +1σ,4.68,11946.63,11735.74,11238.25,73.52,265.67,258.61,7.0565,Bull,6.15,Above,218.76,52.69,Strong Trend,Bull,Bull,Breakout,0.41,No Gap,100,Strong Bull,12032.86,12798.52,Spike
UNOMINDA,01-09-2026,1279.9,1307.5,1261.5,1274.4,1276.0,-1.6,-0.13,1489812,778904,1.91,1264.76,Above,Inside,0.76,1268.42,1252.39,1205.9,63.55,22.89,25.86,-2.9709,,4.9,Inside,28.32,24.47,Weak Trend,Bull,Bull,Breakout,0.31,No Gap,97,Strong Bull,1231.92,1331.04,Spike
PNBHOUSING,01-09-2026,1140.0,1156.4,1135.0,1152.0,1148.7,3.3,0.29,2221845,1131857,1.96,1149.9,Above,Inside,0.18,1162.78,1150.42,1109.4,54.05,19.0,23.29,-4.2857,,5.44,Inside,29.31,31.64,Strong Trend,Bull,Bull,Breakdown,-0.76,Gap Down,90,Strong Bull,1108.04,1210.62,Spike
HEROMOTOCO,01-09-2026,5610.0,5659.0,5495.5,5555.0,5450.0,105.0,1.93,1231008,648188,1.9,5708.88,Below,Below -1σ,-2.7,5594.87,5582.26,5382.3,51.19,63.66,117.97,-54.3081,,8.37,Inside,123.72,35.21,Strong Trend,Bull,Bull,Breakout,2.94,Gap Up,80,Strong Bull,5369.42,5802.44,Spike
SUNPHARMA,01-09-2026,1963.1,1963.1,1921.1,1929.0,1984.8,-55.8,-2.81,3595216,1701940,2.11,1926.71,Above,Inside,0.12,1927.61,1926.51,1911.96,50.71,0.44,-2.34,2.7802,,5.28,Inside,36.01,25.33,Strong Trend,Bull,Bull,,-1.09,Gap Down,80,Strong Bull,1874.99,2001.01,Spike
EICHERMOT,01-09-2026,7975.0,8052.0,7860.0,7970.0,7953.5,16.5,0.21,760116,373569,2.03,8016.42,Below,Below -1σ,-0.58,8016.45,7980.23,7799.52,52.43,70.08,97.15,-27.0721,,2.07,Inside,130.09,32.09,Strong Trend,Bull,Bull,Breakout,0.27,No Gap,77,Bull,7774.86,8230.18,Spike
HCLTECH,01-09-2026,1316.1,1368.0,1313.1,1351.4,1312.2,39.2,2.99,4030238,1982652,2.03,1331.06,Above,Inside,1.53,1320.07,1316.09,1271.89,59.54,11.78,17.77,-5.9974,,7.76,Inside,32.56,16.07,No Trend,Bull,Bull,,0.3,No Gap,75,Bull,1302.55,1416.53,Spike
INFY,01-09-2026,1128.0,1156.0,1125.6,1156.0,1133.8,22.2,1.96,13515619,8241720,1.64,1149.18,Above,Inside,0.59,1137.57,1136.16,1125.43,55.55,4.19,6.45,-2.2554,,8.71,Inside,27.71,9.88,No Trend,Bear,Bull,,-0.51,Gap Down,75,Bull,1114.43,1211.42,Spike
MPHASIS,01-09-2026,2422.7,2523.0,2407.1,2505.5,2427.4,78.1,3.22,932167,442104,2.11,2466.44,Above,Inside,1.58,2449.37,2439.83,2396.82,59.22,17.06,21.84,-4.7788,,7.72,Inside,70.06,10.72,No Trend,Bull,Bull,,-0.19,No Gap,75,Bull,2400.4,2645.63,Spike
ITC,01-09-2026,261.5,268.2,261.5,266.6,255.5,11.1,4.34,31232541,13514438,2.31,272.01,Below,Inside,-1.99,267.23,271.89,277.68,41.72,-4.92,-3.99,-0.9346,,11.38,Inside,5.24,36.05,Strong Trend,Bear,Bear,Breakout,2.35,Gap Up,70,Bull,258.74,277.08,Spike
KEI,01-09-2026,5575.0,5608.5,5301.5,5348.0,5740.3,-392.3,-6.83,657461,374466,1.76,5611.7,Below,Below -1σ,-4.7,5559.84,5527.87,5399.05,44.49,67.5,103.75,-36.2428,,8.45,Below,176.43,27.13,Strong Trend,Bull,Bear,Breakdown,-2.88,Gap Down,70,Bull,5083.35,5700.87,Spike
MARICO,01-09-2026,823.15,840.05,823.15,838.1,820.0,18.1,2.21,3684792,1657337,2.22,845.89,Below,Inside,-0.92,837.74,845.42,845.98,45.57,-6.41,-3.21,-3.2011,,5.84,Inside,15.64,27.79,Strong Trend,Bear,Bear,Breakout,0.38,No Gap,70,Bull,814.65,869.37,Spike
TVSMOTOR,01-09-2026,4341.3,4409.0,4122.0,4203.0,4341.3,-138.3,-3.19,1908908,927636,2.06,4359.7,Below,Below -1σ,-3.59,4337.18,4304.22,4070.4,46.73,80.41,123.09,-42.682,,5.54,Below,107.18,38.92,Strong Trend,Bear,Bull,Breakout,0.0,No Gap,70,Bull,4042.24,4417.35,Spike
HDFCBANK,01-09-2026,705.05,715.45,698.5,711.9,709.0,2.9,0.41,44412827,28993962,1.53,725.09,Below,Below -1σ,-1.82,718.84,727.69,744.97,35.4,-11.37,-11.69,0.3193,,3.93,Inside,12.57,30.79,Strong Trend,Bear,Bear,Breakdown,-0.56,Gap Down,67,Bull,693.04,737.04,Spike
ICICIPRULI,01-09-2026,507.0,507.0,495.0,495.45,517.05,-21.6,-4.18,2199511,1378598,1.6,506.68,Below,Below -1σ,-2.22,507.33,507.11,501.59,43.45,1.06,1.82,-0.7596,Bear,4.9,Inside,12.55,21.39,Weak Trend,Bull,Bear,Breakdown,-1.94,Gap Down,67,Bull,476.62,520.56,Spike
ADANIENT,01-09-2026,2910.0,2942.5,2846.0,2863.9,2859.1,4.8,0.17,3861581,1847381,2.09,2996.96,Below,Below -1σ,-4.44,3005.98,3023.75,3030.68,35.35,-14.93,-5.44,-9.4929,Bear,10.27,Inside,82.04,21.31,Weak Trend,Bear,Bear,Breakdown,1.78,Gap Up,65,Bull,2740.84,3027.98,Spike
ASIANPAINT,01-09-2026,2645.3,2645.3,2545.2,2575.5,2653.6,-78.1,-2.94,1046460,693323,1.51,2677.94,Below,Below -1σ,-3.83,2629.71,2658.41,2684.57,34.53,-28.01,-19.99,-8.0209,,8.66,Inside,54.37,20.25,Weak Trend,Bear,Bear,Breakdown,-0.31,No Gap,65,Bull,2493.95,2684.23,Spike
MARUTI,01-09-2026,13540.0,13540.0,12851.0,12950.0,13547.0,-597.0,-4.41,915695,305155,3.0,13684.79,Below,Below -1σ,-5.37,13453.15,13622.58,13669.43,30.27,-143.01,-68.27,-74.7365,,8.34,Below,257.81,20.58,Weak Trend,Bear,Bear,Breakdown,-0.05,No Gap,65,Bull,12563.28,13465.63,Spike
