Symbol,Open,High,Low,Close,LTP,Change,PctChange,Volume
ITC,261.5,268.2,261.5,255.5,266.6,11.1,4.34,31258553
ADANIGREEN,1220.0,1271.2,1217.0,1214.9,1265.0,50.1,4.12,4309378
PERSISTENT,5621.5,5852.5,5603.0,5594.5,5800.0,205.5,3.67,592977
BHARTIARTL,1852.0,1877.2,1848.5,1811.9,1877.2,65.3,3.6,9900740
ADANIPORTS,1625.0,1655.6,1625.0,1593.1,1647.5,54.4,3.41,3770354
NAUKRI,1335.0,1371.7,1327.2,1313.0,1356.0,43.0,3.27,1564601
MPHASIS,2422.7,2523.0,2407.1,2427.4,2505.5,78.1,3.22,932222
ADANIPOWER,202.0,205.79,201.31,198.0,204.36,6.36,3.21,38032254
HCLTECH,1316.1,1368.0,1313.1,1312.2,1351.4,39.2,2.99,4031856
PFC,343.3,347.75,343.2,336.3,345.8,9.5,2.82,8352858
RELIANCE,1285.0,1311.8,1280.0,1277.0,1309.0,32.0,2.51,12617528
MARICO,823.15,840.05,823.15,820.0,838.1,18.1,2.21,3684805
ONGC,233.8,236.6,232.5,231.8,236.45,4.65,2.01,11985775
INFY,1128.0,1156.0,1125.6,1133.8,1156.0,22.2,1.96,13516123
HEROMOTOCO,5610.0,5659.0,5495.5,5450.0,5555.0,105.0,1.93,1231011
BAJAJ-AUTO,12180.0,12470.0,12090.0,12130.0,12361.0,231.0,1.9,495029
LTM,4540.0,4648.4,4514.9,4540.0,4625.0,85.0,1.87,265080
BLUESTARCO,1471.0,1499.0,1457.0,1463.8,1490.9,27.1,1.85,259707
TATAELXSI,3583.1,3671.9,3567.1,3578.6,3638.0,59.4,1.66,169501
DRREDDY,1166.5,1179.9,1166.5,1154.4,1171.0,16.6,1.44,556259
OIL,485.0,493.0,484.2,483.15,490.0,6.85,1.42,1788773
HINDUNILVR,1987.0,2003.0,1980.0,1967.4,1994.8,27.4,1.39,922778
VBL,404.45,411.35,404.25,400.45,405.85,5.4,1.35,4752656
KOTAKBANK,420.8,429.1,420.75,419.4,425.0,5.6,1.34,7669677
SUPREMEIND,3570.0,3661.4,3563.3,3559.0,3605.0,46.0,1.29,169663
SHREECEM,23605.0,23800.0,23310.0,23200.0,23490.0,290.0,1.25,15342
SRF,2563.0,2600.0,2558.2,2560.4,2592.0,31.6,1.23,105018
PIIND,2391.8,2402.1,2370.7,2370.0,2397.1,27.1,1.14,139983
FORCEMOT,17580.0,18069.0,17462.0,17526.0,17722.0,196.0,1.12,149245
TATAPOWER,347.55,351.95,347.45,347.0,350.55,3.55,1.02,3607879
DELHIVERY,462.65,464.35,457.2,456.2,460.8,4.6,1.01,1175474
CIPLA,1420.9,1425.7,1406.5,1409.2,1423.0,13.8,0.98,880100
FORTIS,911.6,921.45,893.0,906.9,915.0,8.1,0.89,1605569
VOLTAS,1196.0,1206.9,1192.0,1194.4,1205.0,10.6,0.89,288979
PNB,114.49,116.5,114.07,114.23,115.22,0.99,0.87,10969598
UPL,567.65,568.7,560.9,562.25,567.1,4.85,0.86,4060300
KPITTECH,585.2,594.3,581.0,585.0,590.0,5.0,0.85,1026752
DABUR,384.0,386.8,381.0,381.0,384.0,3.0,0.79,1394674
MAHABANK,82.0,83.83,82.0,82.07,82.7,0.63,0.77,14196058
OBEROIRLTY,1856.3,1887.2,1846.6,1868.0,1880.7,12.7,0.68,211011
TECHM,1630.0,1649.0,1613.7,1628.0,1638.0,10.0,0.61,2412137
NAM-INDIA,1190.0,1209.6,1166.0,1172.3,1178.9,6.6,0.56,1257709
ZYDUSLIFE,1167.3,1183.0,1152.0,1161.3,1167.8,6.5,0.56,1070386
