strike,expiry,ce_ltp,ce_oi,pe_ltp,pe_oi
22000.0,2026-09-01,2058.0,2990,0.05,1521390
22050.0,2026-09-01,2313.35,0,0.05,219180
22100.0,2026-09-01,1951.0,65,0.05,878735
22150.0,2026-09-01,2218.8,0,0.05,75660
22200.0,2026-09-01,2171.8,0,0.05,162955
22250.0,2026-09-01,2125.05,0,0.05,151905
22300.0,2026-09-01,2078.55,0,0.05,300430
22350.0,2026-09-01,2032.25,0,0.05,184080
22400.0,2026-09-01,1986.25,0,0.05,221195
22450.0,2026-09-01,1940.55,0,0.05,176800
22500.0,2026-09-01,1557.7,4810,0.05,3373890
22550.0,2026-09-01,1849.95,0,0.05,170235
22600.0,2026-09-01,1805.15,0,0.05,689715
22650.0,2026-09-01,1760.65,0,0.05,200135
22700.0,2026-09-01,1716.55,0,0.05,325520
22750.0,2026-09-01,1672.8,0,0.05,183105
22800.0,2026-09-01,1629.4,0,0.05,1380795
22850.0,2026-09-01,1586.45,0,0.05,286455
22900.0,2026-09-01,1543.9,0,0.05,1025310
22950.0,2026-09-01,1501.8,0,0.05,977340
23000.0,2026-09-01,1055.05,34905,0.05,7444580
23050.0,2026-09-01,1025.0,130,0.05,1730885
23100.0,2026-09-01,883.95,455,0.05,3295110
23150.0,2026-09-01,932.4,715,0.05,1695980
23200.0,2026-09-01,854.65,3380,0.05,4177550
23250.0,2026-09-01,803.2,2730,0.05,2417350
23300.0,2026-09-01,758.0,9035,0.05,4564755
23350.0,2026-09-01,708.9,3380,0.05,2310945
23400.0,2026-09-01,655.25,35620,0.05,3857360
23450.0,2026-09-01,606.45,14690,0.05,2067260
23500.0,2026-09-01,555.2,85410,0.05,7443930
23550.0,2026-09-01,507.25,36660,0.05,1965600
23600.0,2026-09-01,455.4,58305,0.05,5287750
23650.0,2026-09-01,405.5,51220,0.05,3771495
23700.0,2026-09-01,355.3,126100,0.05,6952335
23750.0,2026-09-01,306.45,96135,0.05,3744390
23800.0,2026-09-01,255.3,295165,0.05,7712965
23850.0,2026-09-01,205.5,358995,0.05,5207475
23900.0,2026-09-01,155.5,1186185,0.05,10434060
23950.0,2026-09-01,105.65,3657095,0.05,14246050
24000.0,2026-09-01,55.65,9489870,0.05,23722140
24050.0,2026-09-01,5.75,16099070,0.05,24325145
24100.0,2026-09-01,0.05,25086425,44.15,7450235
24150.0,2026-09-01,0.05,13183625,94.0,4673890
24200.0,2026-09-01,0.05,11684140,144.1,3018145
24250.0,2026-09-01,0.05,5627440,193.9,695175
24300.0,2026-09-01,0.05,12155455,244.0,1170975
24350.0,2026-09-01,0.05,7018115,293.75,211900
24400.0,2026-09-01,0.05,8341385,345.1,711945
24450.0,2026-09-01,0.05,3472235,393.6,153530
24500.0,2026-09-01,0.05,11302850,444.1,650715
24550.0,2026-09-01,0.05,3697980,495.4,89700
24600.0,2026-09-01,0.05,6441240,545.45,198055
24650.0,2026-09-01,0.05,3006770,593.0,47385
24700.0,2026-09-01,0.05,7239830,645.7,109915
24750.0,2026-09-01,0.05,3316040,693.25,41275
24800.0,2026-09-01,0.05,8496280,745.7,65585
24850.0,2026-09-01,0.05,2099370,792.6,34840
24900.0,2026-09-01,0.05,4740320,845.9,29900
24950.0,2026-09-01,0.05,2114125,892.45,17225
25000.0,2026-09-01,0.05,8048885,946.35,113295
25050.0,2026-09-01,0.05,2170740,1050.0,7410
25100.0,2026-09-01,0.05,2837965,1042.7,20540
25150.0,2026-09-01,0.05,1258855,1150.0,4485
25200.0,2026-09-01,0.05,4344535,1143.85,17225
25250.0,2026-09-01,0.05,1140555,1131.0,1430
25300.0,2026-09-01,0.05,2634450,1245.3,9360
25350.0,2026-09-01,0.05,941720,1296.0,2405
25400.0,2026-09-01,0.05,924690,1344.0,11830
25450.0,2026-09-01,0.05,543985,1360.0,780
25500.0,2026-09-01,0.05,5496335,1446.9,81835
25550.0,2026-09-01,0.05,587405,1556.65,455
25600.0,2026-09-01,0.05,1410695,1611.8,910
25650.0,2026-09-01,0.05,203125,1580.0,1040
25700.0,2026-09-01,0.05,648115,1213.95,130
25750.0,2026-09-01,0.05,191165,1508.85,0
25800.0,2026-09-01,0.05,731770,1750.3,650
25850.0,2026-09-01,0.05,118690,1593.2,0
25900.0,2026-09-01,0.05,348790,1904.0,260
25950.0,2026-09-01,0.05,187850,1679.0,0
26000.0,2026-09-01,0.05,1227005,1949.15,35295
26050.0,2026-09-01,0.05,94380,2050.0,65
26100.0,2026-09-01,0.05,112060,2030.0,130
26150.0,2026-09-01,0.05,58110,1854.75,0
26200.0,2026-09-01,0.05,164450,2180.0,65
26250.0,2026-09-01,0.05,72345,1944.45,0
26300.0,2026-09-01,0.1,146445,2180.0,2210
26350.0,2026-09-01,0.05,50765,2035.25,0
26400.0,2026-09-01,0.1,154505,2081.0,0
26450.0,2026-09-01,0.05,47125,2127.0,0
26500.0,2026-09-01,0.05,169845,2531.0,325
26550.0,2026-09-01,0.05,35100,2219.65,0
26600.0,2026-09-01,0.1,67665,2266.3,0
26650.0,2026-09-01,0.05,38220,2313.1,0
26700.0,2026-09-01,0.05,78715,2360.1,0
26750.0,2026-09-01,0.05,30875,2407.3,0
26800.0,2026-09-01,0.05,66495,2454.6,0
26850.0,2026-09-01,0.05,47515,2502.1,0
26900.0,2026-09-01,0.05,80080,2549.75,0
26950.0,2026-09-01,0.05,101465,2597.5,0
27000.0,2026-09-01,0.05,457015,2610.5,65
27050.0,2026-09-01,0.05,32955,2693.45,0
27100.0,2026-09-01,0.1,131430,2741.55,0
27150.0,2026-09-01,0.05,57070,2789.8,0
27200.0,2026-09-01,0.05,413790,3210.0,910
